Questions,Scale,Responses
How familiar are you with the field of radiology? - PRE,1,2
How familiar are you with the field of radiology? - PRE,2,5
How familiar are you with the field of radiology? - PRE,3,10
How familiar are you with the field of radiology? - PRE,4,0
How familiar are you with the field of radiology? - POST,1,0
How familiar are you with the field of radiology? - POST,2,4
How familiar are you with the field of radiology? - POST,3,12
How familiar are you with the field of radiology? - POST,4,1
How confident are you in interpreting: [Ultrasound] - PRE,1,6
How confident are you in interpreting: [Ultrasound] - PRE,2,5
How confident are you in interpreting: [Ultrasound] - PRE,3,5
How confident are you in interpreting: [Ultrasound] - PRE,4,1
How confident are you in interpreting: [Ultrasound] - POST,1,2
How confident are you in interpreting: [Ultrasound] - POST,2,6
How confident are you in interpreting: [Ultrasound] - POST,3,7
How confident are you in interpreting: [Ultrasound] - POST,4,2
How confident are you in interpreting: [CT] - PRE,1,6
How confident are you in interpreting: [CT] - PRE,2,7
How confident are you in interpreting: [CT] - PRE,3,4
How confident are you in interpreting: [CT] - PRE,4,0
How confident are you in interpreting: [CT] - POST,1,2
How confident are you in interpreting: [CT] - POST,2,9
How confident are you in interpreting: [CT] - POST,3,6
How confident are you in interpreting: [CT] - POST,4,0
How confident are you in interpreting: [MRI] - PRE,1,8
How confident are you in interpreting: [MRI] - PRE,2,8
How confident are you in interpreting: [MRI] - PRE,3,1
How confident are you in interpreting: [MRI] - PRE,4,0
How confident are you in interpreting: [MRI] - POST,1,3
How confident are you in interpreting: [MRI] - POST,2,11
How confident are you in interpreting: [MRI] - POST,3,3
How confident are you in interpreting: [MRI] - POST,4,0
How confident are you in interpreting: [X-ray] - PRE,1,7
How confident are you in interpreting: [X-ray] - PRE,2,5
How confident are you in interpreting: [X-ray] - PRE,3,5
How confident are you in interpreting: [X-ray] - PRE,4,0
How confident are you in interpreting: [X-ray] - POST,1,3
How confident are you in interpreting: [X-ray] - POST,2,7
How confident are you in interpreting: [X-ray] - POST,3,7
How confident are you in interpreting: [X-ray] - POST,4,0
xx,1,0
xx,2,0
xx,3,0
xx,4,0
xxxx,1,0
xxxx,2,0
xxxx,3,0
xxxx,4,0
xxx,1,0
xxx,2,0
xxx,3,0
xxx,4,0
x,1,0
x,2,0
x,3,0
How does your answer to the question above impact your interest in a career in radiology? - PRE,1,0
How does your answer to the question above impact your interest in a career in radiology? - PRE,2,3
How does your answer to the question above impact your interest in a career in radiology? - PRE,3,8
How does your answer to the question above impact your interest in a career in radiology? - PRE,4,6
How does your answer to the question above impact your interest in a career in radiology? - POST,1,0
How does your answer to the question above impact your interest in a career in radiology? - POST,2,1
How does your answer to the question above impact your interest in a career in radiology? - POST,3,9
How does your answer to the question above impact your interest in a career in radiology? - POST,4,7
How likely are you to consider radiology as a career specialty? - PRE,1,0
How likely are you to consider radiology as a career specialty? - PRE,2,3
How likely are you to consider radiology as a career specialty? - PRE,3,7
How likely are you to consider radiology as a career specialty? - PRE,4,7
How likely are you to consider radiology as a career specialty?  - POST,1,1
How likely are you to consider radiology as a career specialty?  - POST,2,1
How likely are you to consider radiology as a career specialty?  - POST,3,2
How likely are you to consider radiology as a career specialty?  - POST,4,13
I can see myself as a radiologist - PRE,1,0
I can see myself as a radiologist - PRE,2,2
I can see myself as a radiologist - PRE,3,9
I can see myself as a radiologist - PRE,4,6
I can see myself as a radiologist  - POST,1,1
I can see myself as a radiologist  - POST,2,2
I can see myself as a radiologist  - POST,3,1
I can see myself as a radiologist  - POST,4,13
I anticipate barriers to my becoming a radiologist. - PRE,1,0
I anticipate barriers to my becoming a radiologist. - PRE,2,5
I anticipate barriers to my becoming a radiologist. - PRE,3,7
I anticipate barriers to my becoming a radiologist. - PRE,4,5
I anticipate barriers to my becoming a radiologist.  - POST,1,0
I anticipate barriers to my becoming a radiologist.  - POST,2,3
I anticipate barriers to my becoming a radiologist.  - POST,3,9
I anticipate barriers to my becoming a radiologist.  - POST,4,5
I feel like I have a mentor in radiology to work with or avenues of support for pursuing radiology. - PRE,1,6
I feel like I have a mentor in radiology to work with or avenues of support for pursuing radiology. - PRE,2,4
I feel like I have a mentor in radiology to work with or avenues of support for pursuing radiology. - PRE,3,3
I feel like I have a mentor in radiology to work with or avenues of support for pursuing radiology. - PRE,4,4
I feel like I have a mentor in radiology to work with or avenues of support for pursuing radiology. - POST,1,5
I feel like I have a mentor in radiology to work with or avenues of support for pursuing radiology. - POST,2,3
I feel like I have a mentor in radiology to work with or avenues of support for pursuing radiology. - POST,3,5
I feel like I have a mentor in radiology to work with or avenues of support for pursuing radiology. - POST,4,4
